,https://github.com/apache/sling-org-apache-sling-javax-activation
eddd03f5135980b2627eb6ece0b17dc1b54b17d9,2020-07-28 10:48:26+01:00
aa51af5816da1434a91f54b424dd82d78c25a50e,2021-09-16 11:43:26+05:30
3e2a789f6711679bb686e2bc8736d8b4d9b31136,2021-09-17 10:01:25+05:30
c0be866cffeea279ef684810eda1a6881f3fd442,2021-09-21 15:41:06+05:30
