,https://github.com/apache/sling-project-archetype
feffdb20c49653d6b45b8fc9ca5c92b77a86eeac,2021-07-09 14:55:21+02:00
c05511924e250b3571fc95cdd9fe71a36b2b4a0d,2021-07-09 14:55:21+02:00
5b2827def994a446ac3dc4c64d58c5a0443d824c,2021-07-13 16:12:51+02:00
69da66c1b2f20b01d802786eb8d911e8ed17885b,2021-07-15 16:04:05+02:00
