,https://github.com/apache/karaf
aa870306c5bca0f1dd84bf20199fa00d63443c0c,2020-10-05 07:26:30+02:00
b1a2a2b1e42a2c38c67b9628593e12c282fc6e36,2020-10-13 08:25:41+02:00
efd74460c5ea8f2c9fe7e3562e62714c0616a3c8,2020-10-16 13:42:56+02:00
fd5fc131892922c6bd80bdba94df0a4a20a02c9a,2020-10-16 23:18:30-05:00
2c64ad2cb7bbd446fcd62d4694ac595f3d69bbea,2020-10-19 18:35:38+02:00
ef17616e4bf5149dfec664e40ec5f21484e7e046,2020-11-04 15:52:36+00:00
b45801c07f8003e73d8050738c2f521bc5540daf,2020-11-08 06:31:37+01:00
c1589fa5dff355636506a1eb6c11fb2dfb4f02d6,2020-11-14 17:44:43+01:00
08e835321981dc839d47a46ff208588ae8a867a2,2020-11-15 14:18:09+01:00
b2d5a9993f71bbaeafa980dfb86bf431910715f4,2020-11-25 14:14:31+01:00
fc1d6afcb2ceee1bafd5336fb77c7a72d78cac8c,2020-11-30 09:22:09+01:00
b3fd8b7bdaab56531ff973d50505d9e49ce5ff75,2020-12-04 15:55:14+01:00
378d1e1ea2016aaca2be882d6cb23d14688c01fa,2020-12-13 17:14:49+01:00
057e121986360b16c864421c0a9fc6462654abf2,2020-12-14 08:05:22+01:00
46709caeed20b75fdfcfe062ded3dac5094961d0,2020-12-14 07:57:56+00:00
802de5df1f73f1765f38acb9a53bcffae2b08a64,2020-12-14 18:39:48+01:00
a366a772a36eff9a6c064f30dc0f4d84071812f6,2020-12-15 17:37:03+01:00
81381a1c5f99021fdae40ed71c77433d2a16f2ad,2020-12-19 05:58:32+01:00
d32ce538e3420b02142807762297e6e688ae4590,2020-12-29 07:46:26+01:00
5f826e6b4cc16e0d117db945c831888aca6d1f81,2021-01-12 08:47:34+01:00
97e871a1d762da15abad6aabf32c027e55761701,2021-02-11 10:12:18+01:00
3bd7e7520efb8b6d8feca4a9af3aef3a58d4bcbb,2021-03-04 14:08:50+01:00
ce15e8ad28daf4cf3c3742b3d30ad8276bdf15b7,2021-03-05 14:12:08+01:00
df98b5635536bd712caa5895f904a27c1b039c3a,2021-03-05 14:41:53+01:00
148c1809e02339bfcebe6c929a3cd9c5279cfe18,2021-03-06 07:41:36+01:00
128e91f5cf9c6eb5e5598616126bf6e43ecd264c,2021-03-08 06:20:08+01:00
188a88e341d2ac7d471b0266464580743db00a19,2021-03-14 15:44:31+01:00
c42b0654be99dd1a11c520a0f520a26fd463f6ac,2021-09-01 16:45:27+02:00
