,https://github.com/apache/sling-org-apache-sling-karaf-integration-tests
c87e1af0a550940646db1d0757bb06526f9ed41d,2019-05-26 16:48:27+02:00
ba8bd9e2657bcab5fc7b6d7c6c1a34860f25fc5a,2019-05-28 12:54:09+02:00
5aca6dc98cefd1ff27f3a4181ea9736182dd1de8,2019-09-07 18:59:48+02:00
8e6564c71ee14611bc8191784c3184362ece5667,2019-10-04 10:34:36+02:00
fd633170380cbcd9c405ec974a3f4d933424698d,2019-10-07 20:17:57+02:00
6acd0ec67d99091bb16bf3003d17d7751a4041cf,2019-12-05 18:10:11+01:00
01fafefd59afc836e3c2d9590a67c02eddde0c82,2019-12-05 18:18:35+01:00
04db2dfbb2fa6c0f5c3d2ebd2b15421274c04c6d,2019-12-05 21:49:54+01:00
199be109b1479802846d184fa2a4e62af97c4567,2019-12-08 15:46:05+01:00
78dac2ce925fb7de832388375e62862ee7339239,2019-12-16 21:41:19+01:00
16d25cde0fa47b7e64a553d5c8547f5651543e22,2020-01-11 06:59:08+01:00
edce4c3826b3cdd2d8f0680079f2ea2772fe495c,2020-03-30 14:22:35+02:00
60972b389223a2a8ee320324ccb20e382e91e149,2020-04-01 21:25:06+02:00
90b47b7b3f108553735cf3549ca20fc8e8828b09,2020-04-03 09:40:20+02:00
7b9a7cf1999f4ecda46ee17fc1c69988e422e41f,2020-04-10 15:19:23+02:00
638e4478db02a5a0fc73c825726dcbfc820775eb,2020-04-10 15:20:56+02:00
8428f0ad80bc240d55e9e23a7a59df8d01698479,2020-04-23 19:26:16+02:00
69d47268c56be23b55212e463a32e2d8e4065820,2020-10-17 08:42:12+02:00
0ba9cb5a6975912c232b0dc63b9826c725f68b92,2020-10-17 10:28:35+02:00
bc014946d03b951e6991d3a9d5ef834ea7faa2fb,2020-10-31 14:43:04+01:00
066dc472f40d6e96ae87828932e7e8491dd43949,2020-11-25 10:41:17+01:00
8eaa8de5421ead1bcaff1da73e93b37b2f6e3c73,2020-11-26 22:48:58+01:00
129de1948c711e387147bcac866788b96876f407,2020-11-30 11:43:52+01:00
fc3b58d3eb00bad770684677b3535bd30c65a5cb,2020-12-03 23:56:04+01:00
4ca8c63ac1a136a221812a191252c763dedb59bb,2020-12-07 17:23:31+01:00
018004980cd2aa3add3008b7e469406ad9a5b572,2020-12-11 21:27:03+01:00
7f708d065ee643b309bc2348ac0b3d920f50bba8,2020-12-19 21:12:16+01:00
a6e1f2e3bfd02920626fc641cace4ac0c7e7c84f,2020-12-21 16:35:42+01:00
539b0a124035969b7c57e7df205049c5f59b847a,2021-01-05 12:29:12+01:00
bb198baece841ee1258ba16fd7ca806abdc102d9,2021-01-08 15:18:57+01:00
b7d7bc989378353c3a8752f0c0e320bd6d804c93,2021-01-08 15:20:41+01:00
c071bb7105eecd985adbf236094c896ddd7ccc9b,2021-01-08 15:26:34+01:00
4746ca970fcdf390dc617b6d90db60ad94f50032,2021-03-21 12:00:09+01:00
e18546f140a2e6edb755b9719690d92f83910778,2021-03-23 09:33:58+01:00
dfd15df5debe7256c73a86531c84a4aabc56e7ce,2021-05-12 13:07:57+02:00
571ea35f6de27472d76244383c86f0ae2df9ec5e,2021-05-23 10:43:28+02:00
bf2a9c0fb257fabd626f97f3a9634d493e11a7dc,2021-06-16 01:23:23+02:00
b5a2cd4d2f714ab589959ab139af1659de5febf0,2021-06-23 11:59:54+02:00
bc57967e56bbea9f5a601721eed8a4ad74633db3,2021-12-16 22:43:48+01:00
