,https://github.com/apache/sling-org-apache-sling-discovery-oak
75b24429c1e35c37db68fdd2e1c71b8da351dfc2,2020-08-05 00:49:40+02:00
46748c1602962d3fceb62af35f3a1b3607196fea,2021-04-21 09:55:09+02:00
5826d5d6616a02c81ec5d8f702de21f18901d44d,2021-06-02 18:04:30+02:00
610d101b814bc178ca1171b1c01141bf52dc3378,2022-03-10 18:34:02+01:00
14776ab4a6c9efc1f075e7476ae8512e30c466c8,2022-03-10 18:55:10+01:00
