,https://github.com/apache/sling-kickstart-maven-plugin
da43d1f9b1a5d6dd2d88538a3399b10558c397df,2020-05-07 16:10:46-07:00
a5774c695acebc0cf25c38433da2a0d94883a275,2020-06-11 13:41:31-07:00
6f3a3bff7972b8b7f42b3bc2c1a074f659fb1a4a,2020-06-19 19:51:55-07:00
0e5fb35343ab25fa16caf4dea1b5b696314392fa,2020-06-23 13:37:28-07:00
0fce5ac559d406bd30ac94b5d71c7e719c163daf,2020-09-12 18:58:02-07:00
