,https://github.com/apache/sling-org-apache-sling-commons-messaging-mail
04518e828ee05a22068d70c6dd7db591afa85466,2019-12-15 19:15:52+01:00
fd1350d97590bb335e57e19c3ad8c208670fe316,2019-12-15 19:18:17+01:00
07a318f89ed07219b5c328b5faa32ae917497e02,2019-12-19 17:50:09+01:00
66ae4c2cae2c9d2ebaa32fab64010e3a96c5efb8,2020-02-14 17:58:45+01:00
f536eadd8650e2a043af4163fd2e5c1a571e86ad,2020-04-05 23:40:42+02:00
aace9fb22abf8b5f255056dd19fb40c075dac84a,2020-08-25 18:50:26+02:00
72fdbde631eb8697529c099dd5bb292717b4fa7c,2020-08-25 19:50:59+02:00
cf304c7bae665090d1e2414ad363674289b3249b,2020-08-26 20:44:44+02:00
ae99a59e6ee3b4243070c02138cec6b168ffb5a0,2020-08-26 20:57:47+02:00
9e71aa3b1d0dfa7107286b3bd71ad32d528e334a,2020-12-21 13:45:32+01:00
768172f73d108ad2b23f4c6c1561efc3d3342a36,2021-05-04 10:32:39+02:00
1b542b425b9bb7147200526e7fbe58e435f4a57d,2021-05-12 13:51:23+02:00
78b3bf7b27a632b474053bc30cde4253b2b00334,2021-05-13 19:52:22+02:00
0d6a2a84ab3951dba80c982bcd65a6ae50317460,2021-05-13 19:53:54+02:00
5516eeb2de534ccd4f122c547f5af46ab0fb5f12,2021-05-14 21:45:49+02:00
70fe89b9dc402a8c1000365cd2d2eeac65ed2bbf,2021-05-14 22:54:54+02:00
b91f7f5062f52ba34489a50edd2592e7e86d50fe,2021-05-15 16:21:13+02:00
e785b6d659e6e542682aaa5acca5b720ed2604d4,2021-05-16 18:56:54+02:00
6e12192d104ffa142b7a5d1bf288509f3582f925,2021-05-16 19:00:17+02:00
fb80257a49980a23574e917510ddbcfb6aa42095,2021-05-16 19:08:52+02:00
6a784547c17256df9bffb043a3c88b8d058b190f,2021-05-16 19:10:50+02:00
ba68986b3f171503c2bf55bd6e056582faa9a876,2021-05-16 19:27:01+02:00
a1458a120f3dabde8dae844f73de4eaa3934b1ca,2021-05-16 19:28:24+02:00
40569d5332e82ab6f35b0f996336c1529f45cbf2,2021-05-19 10:53:52+02:00
a48520ee0c1d2209166d2a33a941f4784e4d5d18,2021-05-19 21:52:29+02:00
dbf9d386c6f0aad14bbc1d2d41caaedec179a02f,2021-06-22 11:18:30+02:00
ccd9e1516be2e23d978bb566e8d5f9e022e4f076,2021-06-22 11:58:26+02:00
5b87c2166ef9726014ab7bbd080e02b0376e0523,2021-07-17 12:41:24+02:00
d9a98f7f9bac2f43d9129530c317817610bf4742,2021-07-18 13:26:09+02:00
0291017700374e2248b89f1abfdadfdac56954a7,2021-07-18 13:35:52+02:00
ba54c3a7bd31bdcbe007f9a9fd08647ecf93647d,2021-07-18 13:40:29+02:00
4b5491ac3ad18283e99e89a48d9e416d612e2d18,2021-07-18 13:45:24+02:00
ab8bcddc93c432853948393a60e08b21e85bb8f8,2021-07-18 20:59:35+02:00
dac1d87176aae07a116d2764e27b56b4473a1b9f,2021-07-18 21:07:08+02:00
2561508a552e4efa116117b1f1ba8f738d1f5419,2021-07-18 21:20:13+02:00
c3c14142e66945ad551312d9ae6d946e0d6728a2,2021-07-18 21:32:21+02:00
085abcbc02bb751c7ca29da34dee739237c00605,2021-07-20 21:27:36+02:00
6a5b89964ed012c938612734888d5e682b1603bb,2021-07-20 21:28:36+02:00
3713f9c11b264961c0ba0429fd00b561bbdd8b93,2021-07-24 21:44:38+02:00
4e6acb63cfeba9399004b44baddd953cd5f2f016,2021-07-25 18:07:14+02:00
bc20713cd39aad85fb59bd1dbc8bef850f6949e7,2021-07-25 19:05:53+02:00
f29c91a7d49223c90abe54c632a07f6a7a10ee0f,2021-07-25 21:58:29+02:00
6ef7792faedd819caa34e0ecb901de57ed052880,2021-08-12 22:58:03+02:00
846c3d38c213bc9b2aadd818b18b63da1c76854d,2021-08-12 22:58:03+02:00
1edee72c83ae111eb480c0c40bf888054ce91f93,2021-08-12 22:58:03+02:00
735b0a2588166f9a83c623042eb7d144c4c084d9,2021-09-10 21:57:28+02:00
aa0a1d3cfe042d76a82b543ed0042e85c87973bf,2021-12-03 15:56:18+01:00
3c83b9a1a11f301c7eb33cb655defbe1789e498b,2021-12-05 22:04:51+01:00
