,https://github.com/apache/sling-org-apache-sling-commons-contentdetection
3739e51004a1eaa54f1e3fa7c08a2eaf8950b304,2019-06-15 23:15:59+02:00
035b6398df6f19fee526a44c326f7cc4d9819666,2020-02-22 21:55:49+01:00
cebf68b3e6e21ea42b966c54c03fe10933a5278f,2020-02-27 10:36:01+01:00
