package_name,db,project_id,package_id,package_id_pr
LICENSE,6,15,20,1248
NOTICE,6,15,21,1249
archive-pipeline-transforms/src/main/java/ui/steps/script,6,15,398,1250
archive-pipeline-transforms/src/main/java/ui/steps/simplemapping,6,15,399,1251
archive-pipeline-transforms/src/main/java/ui/steps/textfileinput,6,15,400,1252
assemblies/client,6,15,402,1253
assemblies/client/src/assembly,6,15,403,1254
assemblies/plugins,6,15,406,1255
assemblies/plugins/actions,6,15,407,1256
assemblies/plugins/actions/repeat,6,15,411,1257
assemblies/plugins/actions/repeat/src/assembly,6,15,412,1258
assemblies/plugins/actions/repeat/src/main/resources,6,15,413,1259
assemblies/plugins/databases,6,15,414,1260
assemblies/plugins/databases/clickhouse-assemblies,6,15,415,1261
assemblies/plugins/databases/clickhouse-assemblies/src/assembly,6,15,416,1262
assemblies/plugins/databases/clickhouse-assemblies/src/main/resources,6,15,417,1263
assemblies/plugins/databases/doris-assemblies,6,15,421,1264
assemblies/plugins/databases/doris-assemblies/src/assembly,6,15,422,1265
assemblies/plugins/databases/doris-assemblies/src/main/resources,6,15,423,1266
assemblies/plugins/databases/monetdb-assemblies,6,15,425,1267
assemblies/plugins/databases/monetdb-assemblies/src/assembly,6,15,426,1268
assemblies/plugins/dist,6,15,431,1269
assemblies/plugins/misc,6,15,434,1270
assemblies/plugins/misc/reflection,6,15,439,1271
assemblies/plugins/misc/reflection/src/assembly,6,15,440,1272
assemblies/plugins/misc/reflection/src/main/resources,6,15,441,1273
assemblies/plugins/tech,6,15,442,1274
assemblies/plugins/tech/azure,6,15,444,1275
assemblies/plugins/tech/azure/src/assembly,6,15,445,1276
assemblies/plugins/tech/azure/src/main/resources,6,15,446,1277
assemblies/plugins/tech/cassandra,6,15,447,1278
assemblies/plugins/tech/google,6,15,451,1279
assemblies/plugins/tech/google/src/assembly,6,15,452,1280
assemblies/plugins/tech/parquet,6,15,453,1281
assemblies/plugins/tech/parquet/src/assembly,6,15,454,1282
assemblies/plugins/tech/parquet/src/main/resources,6,15,455,1283
assemblies/plugins/transforms,6,15,456,1284
assemblies/plugins/transforms/coalesce,6,15,457,1285
assemblies/plugins/transforms/coalesce/src/assembly,6,15,458,1286
assemblies/plugins/transforms/coalesce/src/main/resources,6,15,459,1287
assemblies/plugins/transforms/dropbox,6,15,460,1288
assemblies/plugins/transforms/dropbox/src/assembly,6,15,461,1289
assemblies/plugins/transforms/dropbox/src/main/resources,6,15,462,1290
assemblies/plugins/transforms/googleanalytics,6,15,466,1291
assemblies/plugins/transforms/googleanalytics/src/assembly,6,15,467,1292
assemblies/plugins/transforms/googleanalytics/src/main/resources,6,15,468,1293
assemblies/plugins/transforms/googlesheets,6,15,469,1294
assemblies/plugins/transforms/googlesheets/src/assembly,6,15,470,1295
assemblies/plugins/transforms/googlesheets/src/main/resources,6,15,471,1296
assemblies/plugins/transforms/json/src/assembly,6,15,472,1297
assemblies/plugins/transforms/monetdbbulkloader,6,15,476,1298
assemblies/plugins/transforms/monetdbbulkloader/src/assembly,6,15,477,1299
assemblies/plugins/transforms/monetdbbulkloader/src/main/resources,6,15,478,1300
assemblies/plugins/transforms/mqtt,6,15,479,1301
assemblies/plugins/transforms/sasinput,6,15,481,1302
assemblies/plugins/transforms/sasinput/src/assembly,6,15,482,1303
assemblies/plugins/transforms/sasinput/src/main/resources,6,15,483,1304
assemblies/plugins/transforms/splunk,6,15,487,1305
assemblies/plugins/transforms/splunk/src/assembly,6,15,488,1306
assemblies/plugins/transforms/splunk/src/main/resources,6,15,489,1307
assemblies/plugins/transforms/tokenreplacement,6,15,496,1308
assemblies/plugins/transforms/tokenreplacement/src/assembly,6,15,497,1309
assemblies/plugins/transforms/tokenreplacement/src/main/resources,6,15,498,1310
assemblies/plugins/valuetypes,6,15,500,1311
assemblies/plugins/valuetypes/json,6,15,501,1312
assemblies/plugins/valuetypes/json/src/assembly,6,15,502,1313
assemblies/plugins/valuetypes/json/src/main/resources,6,15,503,1314
assemblies/plugins/vfs,6,15,504,1315
assemblies/plugins/vfs/azure,6,15,505,1316
assemblies/static/src/main/resources,6,15,506,1317
core/src/main/java/org/apache/hop/core,6,15,2464,1318
core/src/main/java/org/apache/hop/core/config,6,15,2466,1319
core/src/main/java/org/apache/hop/core/config/plugin,6,15,2467,1320
core/src/main/java/org/apache/hop/core/database,6,15,2468,1321
core/src/main/java/org/apache/hop/core/encryption,6,15,2469,1322
core/src/main/java/org/apache/hop/core/extension,6,15,2470,1323
core/src/main/java/org/apache/hop/core/gui,6,15,2472,1324
core/src/main/java/org/apache/hop/core/gui/plugin,6,15,2473,1325
core/src/main/java/org/apache/hop/core/gui/plugin/action,6,15,2474,1326
core/src/main/java/org/apache/hop/core/gui/plugin/key,6,15,2475,1327
core/src/main/java/org/apache/hop/core/gui/plugin/menu,6,15,2476,1328
core/src/main/java/org/apache/hop/core/gui/plugin/toolbar,6,15,2477,1329
core/src/main/java/org/apache/hop/core/lifecycle,6,15,2479,1330
core/src/main/java/org/apache/hop/core/logging,6,15,2480,1331
core/src/main/java/org/apache/hop/core/parameters,6,15,2481,1332
core/src/main/java/org/apache/hop/core/plugins,6,15,2482,1333
core/src/main/java/org/apache/hop/core/row,6,15,2483,1334
core/src/main/java/org/apache/hop/core/row/value,6,15,2484,1335
core/src/main/java/org/apache/hop/core/search,6,15,2485,1336
core/src/main/java/org/apache/hop/core/svg,6,15,2486,1337
core/src/main/java/org/apache/hop/core/util,6,15,2487,1338
core/src/main/java/org/apache/hop/core/vfs,6,15,2488,1339
core/src/main/java/org/apache/hop/core/vfs/plugin,6,15,2489,1340
core/src/main/java/org/apache/hop/metadata/api,6,15,2492,1341
core/src/main/java/org/apache/hop/metadata/plugin,6,15,2493,1342
core/src/main/java/org/apache/hop/metadata/serializer,6,15,2494,1343
core/src/main/java/org/apache/hop/metadata/serializer/json,6,15,2495,1344
core/src/main/java/org/apache/hop/metadata/serializer/memory,6,15,2496,1345
core/src/main/java/org/apache/hop/metadata/serializer/multi,6,15,2497,1346
core/src/main/java/org/apache/hop/metadata/util,6,15,2499,1347
core/src/main/resources/images,6,15,2500,1348
core/src/main/resources/org/apache/hop/core/database/messages,6,15,2501,1349
core/src/main/resources/org/apache/hop/core/logging/messages,6,15,2502,1350
