project_id,owner,repo,tf_count,coverage,dev_name,dev_file_count,dev_coverage
5,apache,ratis,2,42.26%,Tsz Wo Nicholas Sze,488,72.62
5,apache,ratis,2,42.26%,Jing Zhao,87,12.95
13,apache,hop,1,34.98%,Matt Casters,3605,90.71
21,apache,incubator-tamaya-extensions,1,15.10%,Anatole Tresch,406,92.91
29,apache,openmeetings,1,3.76%,Maxim Solodovnik,843,99.18
37,apache,sling-feature-converter-maven-plugin,1,5.88%,Andreas Schaefer,34,100.00
53,apache,sling-org-apache-sling-api,2,33.52%,Carsten Ziegeler,130,73.86
53,apache,sling-org-apache-sling-api,2,33.52%,Felix Meschberger,50,28.41
69,apache,sling-org-apache-sling-caconfig-spi,1,38.46%,Stefan Seifert,25,96.15
85,apache,sling-org-apache-sling-commons-html,1,18.92%,JE Bailey,31,83.78
93,apache,sling-org-apache-sling-commons-metrics,1,28.57%,Chetan Mehrotra,28,80.00
101,apache,sling-org-apache-sling-connection-timeout-agent,1,0.00%,Robert Munteanu,19,100.00
109,apache,sling-org-apache-sling-datasource,1,0.00%,Chetan Mehrotra,8,100.00
117,apache,sling-org-apache-sling-distribution-api,2,43.48%,Tommaso Teofili,11,47.83
117,apache,sling-org-apache-sling-distribution-api,2,43.48%,Marius Petria,4,17.39
173,apache,sling-org-apache-sling-installer-console,1,33.33%,Konrad Windszus,3,100.00
189,apache,sling-org-apache-sling-jcr-base,2,44.00%,Karl Pauls,27,54.00
189,apache,sling-org-apache-sling-jcr-base,2,44.00%,Carsten Ziegeler,16,32.00
197,apache,sling-org-apache-sling-jcr-jackrabbit-usermanager,1,26.23%,Eric Norman,61,100.00
237,apache,sling-org-apache-sling-models-api,2,28.38%,Justin Edelson,51,68.92
237,apache,sling-org-apache-sling-models-api,2,28.38%,Konrad Windszus,22,29.73
269,apache,sling-org-apache-sling-scripting-api,1,40.00%,Radu Cotescu,6,60.00
285,apache,sling-org-apache-sling-scripting-sightly,1,6.38%,Radu Cotescu,45,95.74
293,apache,sling-org-apache-sling-scripting-sightly-testing-content,1,9.17%,Radu Cotescu,100,91.74
301,apache,sling-org-apache-sling-servlets-annotations,1,28.57%,Bertrand Delacretaz,15,71.43
309,apache,sling-org-apache-sling-starter,1,20.00%,Robert Munteanu,9,90.00
317,apache,sling-org-apache-sling-testing-caconfig-mock-plugin,1,0.00%,Stefan Seifert,20,100.00
325,apache,sling-org-apache-sling-testing-resourceresolver-mock,1,44.74%,Stefan Seifert,33,86.84
341,apache,sling-project-archetype,2,0.00%,Robert Munteanu,14,82.35
341,apache,sling-project-archetype,2,0.00%,Andreas Schaefer,13,76.47
349,apache,sling-whiteboard,2,41.62%,Bertrand Delacretaz,185,34.07
349,apache,sling-whiteboard,2,41.62%,Dan Klco,157,28.91
357,apache,commons-statistics,1,7.03%,aherbert,126,98.44
